k,a,b,y,f(y),z,f(z),erro,min
0,[0.],[3.],[1.14589803],-1.79024325749306,[1.85410197],1.0425724725044159,[3.],[1.5]
1,[0.],[1.85410197],[0.70820393],-2.0363612324741327,[1.14589803],-1.79024325749306,[1.85410197],[0.92705098]
2,[0.],[1.14589803],[0.4376941],-1.6137421274451103,[0.70820393],-2.0363612324741327,[1.14589803],[0.57294902]
3,[0.4376941],[1.14589803],[0.70820393],-2.0363612324741327,[0.8753882],-2.0780274972709796,[0.70820393],[0.79179607]
4,[0.70820393],[1.14589803],[0.8753882],-2.0780274972709796,[0.97871376],-2.0199269246908536,[0.4376941],[0.92705098]
5,[0.70820393],[0.97871376],[0.81152949],-2.081907111070987,[0.8753882],-2.0780274972709796,[0.27050983],[0.84345885]
6,[0.70820393],[0.8753882],[0.77206264],-2.0720710402104245,[0.81152949],-2.081907111070987,[0.16718427],[0.79179607]
7,[0.77206264],[0.8753882],[0.81152949],-2.081907111070987,[0.83592135],-2.083313239842336,[0.10332556],[0.82372542]
8,[0.81152949],[0.8753882],[0.83592135],-2.083313239842336,[0.85099635],-2.0823973872590886,[0.06385871],[0.84345885]
9,[0.81152949],[0.85099635],[0.82660449],-2.083197501334195,[0.83592135],-2.083313239842336,[0.03946685],[0.83126292]
10,[0.82660449],[0.85099635],[0.83592135],-2.083313239842336,[0.84167949],-2.0831243585308568,[0.02439186],[0.83880042]
11,[0.82660449],[0.84167949],[0.83236263],-2.0833305065159897,[0.83592135],-2.083313239842336,[0.015075],[0.83414199]
12,[0.82660449],[0.83592135],[0.83016321],-2.0833031843604535,[0.83236263],-2.0833305065159897,[0.00931686],[0.83126292]
13,[0.83016321],[0.83592135],[0.83236263],-2.0833305065159897,[0.83372194],-2.0833328802932605,[0.00575814],[0.83304228]
14,[0.83236263],[0.83592135],[0.83372194],-2.0833328802932605,[0.83456204],-2.083328804184533,[0.00355872],[0.83414199]
15,[0.83236263],[0.83456204],[0.83320273],-2.0833332821592045,[0.83372194],-2.0833328802932605,[0.00219941],[0.83346233]
16,[0.83236263],[0.83372194],[0.83288184],-2.0833327217864044,[0.83320273],-2.0833332821592045,[0.00135931],[0.83304228]
17,[0.83288184],[0.83372194],[0.83320273],-2.0833332821592045,[0.83340105],-2.083333319577597,[0.0008401],[0.83330189]
18,[0.83320273],[0.83372194],[0.83340105],-2.083333319577597,[0.83352362],-2.083333224709916,[0.00051921],[0.83346233]
19,[0.83320273],[0.83352362],[0.8333253],-2.0833333331395343,[0.83340105],-2.083333319577597,[0.00032089],[0.83336317]
20,[0.83320273],[0.83340105],[0.83327848],-2.08333332430625,[0.8333253],-2.0833333331395343,[0.00019832],[0.83330189]
21,[0.83327848],[0.83340105],[0.8333253],-2.0833333331395343,[0.83335423],-2.0833333320232503,[0.00012257],[0.83333976]
22,[0.83327848],[0.83335423],[0.83330741],-2.0833333313177977,[0.8333253],-2.0833333331395343,[7.5751837e-05],[0.83331635]
23,[0.83330741],[0.83335423],[0.8333253],-2.0833333331395343,[0.83333635],-2.0833333333060686,[4.681721e-05],[0.83333082]
24,[0.8333253],[0.83335423],[0.83333635],-2.0833333333060686,[0.83334318],-2.08333333304255,[2.8934627e-05],[0.83333976]
25,[0.8333253],[0.83334318],[0.83333213],-2.0833333333289636,[0.83333635],-2.0833333333060686,[1.7882583e-05],[0.83333424]
26,[0.8333253],[0.83333635],[0.83332952],-2.0833333332896498,[0.83333213],-2.0833333333289636,[1.10520441e-05],[0.83333082]
27,[0.83332952],[0.83333635],[0.83333213],-2.0833333333289636,[0.83333374],-2.083333333332839,[6.83053888e-06],[0.83333293]
