a,x2,f(a),f(x1),i,f(b),x1,fx2
[0.],[2.8657],8.0,17.30394252,23,68.0,[1.7711],60.69563788000002
[0.],[1.7711],8.0,4.864189920000001,22,60.69563788000002,[1.0946],17.30394252
[0.],[1.0946],8.0,2.667827,21,17.30394252,[0.6765],4.864189920000001
[0.],[0.6765],8.0,3.4080913200000005,20,4.864189920000001,[0.4181],2.667827
[0.4181],[0.8362],3.4080913200000005,2.667827,19,4.864189920000001,[0.6765],3.011565280000001
[0.4181],[0.6765],3.4080913200000005,2.76143408,18,3.011565280000001,[0.5778],2.667827
[0.5778],[0.7375],2.76143408,2.667827,17,3.011565280000001,[0.6765],2.7268749999999997
[0.5778],[0.6765],2.76143408,2.67598528,16,2.7268749999999997,[0.6388],2.667827
[0.6388],[0.6998],2.67598528,2.667827,15,2.7268749999999997,[0.6765],2.67984048
[0.6388],[0.6765],2.67598528,2.6669169200000002,14,2.67984048,[0.6621],2.667827
[0.6388],[0.6621],2.67598528,2.6688428799999997,13,2.667827,[0.6532],2.6669169200000002
[0.6532],[0.6676],2.6688428799999997,2.6669169200000002,12,2.667827,[0.6621],2.66667712
[0.6621],[0.671],2.6669169200000002,2.66667712,11,2.667827,[0.6676],2.6668920000000007
[0.6621],[0.6676],2.6669169200000002,2.666683,10,2.6668920000000007,[0.6655],2.66667712
[0.6655],[0.6689],2.666683,2.66667712,9,2.6668920000000007,[0.6676],2.66672652
[0.6655],[0.6676],2.666683,2.6666668799999993,8,2.66672652,[0.6668],2.66667712
[0.6655],[0.6668],2.666683,2.6666682799999997,7,2.66667712,[0.6663],2.6666668799999993
[0.6663],[0.6671],2.6666682799999997,2.6666668799999993,6,2.66667712,[0.6668],2.66666892
[0.6663],[0.6668],2.6666682799999997,2.6666667200000003,5,2.66666892,[0.6666],2.6666668799999993
[0.6663],[0.6666],2.6666682799999997,2.6666669999999995,4,2.6666668799999993,[0.6665],2.6666667200000003
[0.6665],[0.6667],2.6666669999999995,2.6666667200000003,3,2.6666668799999993,[0.6666],2.6666666799999996
[0.6666],[0.6667],2.6666667200000003,2.6666666799999996,2,2.6666668799999993,[0.6667],2.6666666799999996
[0.6666],[0.6667],2.6666667200000003,2.6666667200000003,1,2.6666666799999996,[0.6666],2.6666666799999996
