i,x1,f(x1),x2,f(x2),a,f(a),b,f(b),erro
18,[1.597],0.009734618333518727,[2.584],-0.379428527522615,[0.],0.0998334166468282,[3.5],1.0323234781218626,[-3.5]
17,[2.584],-0.379428527522615,[3.194],0.2731024423713053,[1.597],0.009734618333518727,[3.5],1.0323234781218626,[-1.903]
16,[2.207],-0.367162278230994,[2.584],-0.379428527522615,[1.597],0.009734618333518727,[3.194],0.2731024423713053,[-1.597]
15,[2.584],-0.379428527522615,[2.817],-0.245854643015335,[2.207],-0.367162278230994,[3.194],0.2731024423713053,[-0.987]
14,[2.44],-0.4039167742871672,[2.584],-0.379428527522615,[2.207],-0.367162278230994,[2.817],-0.245854643015335,[-0.61]
13,[2.351],-0.4000417192359922,[2.44],-0.4039167742871672,[2.207],-0.367162278230994,[2.584],-0.379428527522615,[-0.377]
12,[2.44],-0.4039167742871672,[2.495],-0.39928216682626316,[2.351],-0.4000417192359922,[2.584],-0.379428527522615,[-0.233]
11,[2.406],-0.404041531857241,[2.44],-0.4039167742871672,[2.351],-0.4000417192359922,[2.495],-0.39928216682626316,[-0.144]
10,[2.385],-0.40311431431640243,[2.406],-0.404041531857241,[2.351],-0.4000417192359922,[2.44],-0.4039167742871672,[-0.089]
9,[2.406],-0.404041531857241,[2.419],-0.4042342482723502,[2.385],-0.40311431431640243,[2.44],-0.4039167742871672,[-0.055]
8,[2.419],-0.4042342482723502,[2.427],-0.4042056097990103,[2.406],-0.404041531857241,[2.44],-0.4039167742871672,[-0.034]
7,[2.414],-0.40419501156025395,[2.419],-0.4042342482723502,[2.406],-0.404041531857241,[2.427],-0.4042056097990103,[-0.021]
6,[2.419],-0.4042342482723502,[2.422],-0.4042367333740964,[2.414],-0.40419501156025395,[2.427],-0.4042056097990103,[-0.013]
5,[2.422],-0.4042367333740964,[2.424],-0.4042295835943477,[2.419],-0.4042342482723502,[2.427],-0.4042056097990103,[-0.008]
4,[2.421],-0.4042376643419805,[2.422],-0.4042367333740964,[2.419],-0.4042342482723502,[2.424],-0.4042295835943477,[-0.005]
3,[2.42],-0.4042368353188255,[2.421],-0.4042376643419805,[2.419],-0.4042342482723502,[2.422],-0.4042367333740964,[-0.003]
2,[2.421],-0.4042376643419805,[2.421],-0.4042376643419805,[2.42],-0.4042368353188255,[2.422],-0.4042367333740964,[-0.002]
1,[2.42],-0.4042368353188255,[2.421],-0.4042376643419805,[2.42],-0.4042368353188255,[2.421],-0.4042376643419805,[-0.001]
